u abs_error rel_error
-1.125e-2 1.64488678019328799801244258659647631001789997749642530854377989935943449e-2 1.007753959851799397860531893355168826853872034248535080612220394078730306
-1.09375e-2 1.598603436527103225766840500168485376202922494518589044344992684155395433e-2 1.007539761073103270038042728315748665347559645800738314351049739141396137
-1.0625e-2 1.552354026254355380232878697447517489130565256184327686098777012392624092e-2 1.00732549422997554322747459682755500063671384348163016794595171157046931
-1.03125e-2 1.506138540278474875979203733476678896660729164605498381837677595652048819e-2 1.007111159333224816079034887274990866388523481245147990056009416365810514
-1e-2 1.459956969511507663379792435735437550680244498243103188520583682334247791e-2 1.006896756393652849329615510194287625007855044212666575964013660110742314
-9.6875e-3 1.413809304874104352128342778938399501097165113080137829388325878233623933e-2 1.006682285422054572644577257768927103788295261191521048364399115310690673
-9.375e-3 1.367695537295509351910712008455921253241791683063288792763080795013208693e-2 1.006467746429218091450324413048720935333364423676130445459147015770605963
-9.0625e-3 1.32161565771355003020293133281970257692746627922183992710444892349090624e-2 1.006253139425924693757685092247111007048540216220108728326937429028769673
-8.75e-3 1.275569657074625887162398173685014306164583317559128306235912808198453265e-2 1.006038464422948856976112772343586882183260886555377659432570495623088531
-8.4375e-3 1.229557526333697747579918448806853896267408017299473931490480750121341533e-2 1.00582372143105825471872442516315891599845538687389484832590245183925811
-8.125e-3 1.183579256454276969860342670562615397219812747157004466487267306121503431e-2 1.005608910461013763598190648122386226701251473519035799212206418662459519
-7.8125e-3 1.137634838408414671999610769829723031843535304881346705589795287417369512e-2 1.005394031523569470013493150921343939496794589984955070304436516228299421
-7.5e-3 1.091724263176690974526091503112412786219935612605009051540889839932975104e-2 1.005179084629472676927564926622932025349539058524370324244363292231561225
-7.1875e-3 1.045847521748204260374173070215155029725186347091071081886685484696486455e-2 1.004964069789463910635828404794886998040245679337452305967992478459059054
-6.875e-3 1.000004605120560451658132160987196085356999034990654721071449762359465624e-2 1.004748987014276927525646853695566678505527905865065785699756237297150068
-6.5625e-3 9.54195504299862303314379063217868500389669567775177654349301713214591541e-3 1.004533836314638720826704267861846717466909390560210541619032893207551496
-6.25e-3 9.084202103006987135802467001486023943665483504110668679927921354882015415e-3 1.004318617701269527352328946906105685892540197892719013765105115169255225
