x abs_error
0.534070751110264850538649375157515490313518797893767989565741 2.449297824860308508535378310263719515819819687931647054976085e-6
0.549778714378213816730962592073913004734504644890643518670615 2.999597096934094868004459209278039372144665975440466588649946e-6
0.56548667764616278292327580899031051915549049188751904777549 3.652570365035028969705853894780398740306497191502338697155083e-6
0.5811946409141117491155890259067080335764763388843945768803647 4.42368975924201051452814694161148061577843378690234841013005e-6
0.5969026041820607153079022428231055479974621858812701059852395 5.330234464996297670251085890149923981543671550891820135724435e-6
0.6126105674500096815002154597395030624184480328781456350901143 6.391443684773922812962626446786378625240192549407479150605445e-6
0.628318530717958647692528676655900576839433879875021164194989 7.62867784650883188827875414177625609519269503656283866636677e-6
0.6440264939859076138848418935722980912604197268718966932998633 9.06558825494653791468155087471110824617959772127587323600182e-6
0.659734457253856580077155110488695605681405573868772222404738 1.07282953800249123812075365073552038448175251155336079126434e-5
0.675442420521805546269468327405093120102391420865647751509613 1.264557597424768108405413865148861722440812126892790272789282e-5
0.691150383789754512461781544321490634523377267862523280614488 1.484905920883776910790552569330567915772888153733162132918806e-5
0.7068583470577034786540947612378881489443631148593988097193626 1.737343201623239068090226888222619758489129105851680948965801e-5
0.7225663103256524448464079781542856633653489618562743388242375 2.025665382421025256408030814856898343564462315728585718669302e-5
0.738274273593601411038721195070683177786334808853149867929112 2.354018086462399494209794749920652584296287009008975097198477e-5
0.7539822368615503772310344119870806922073206558500253970339865 2.726920023734860320760966888922560738652323434553190184151305e-5
0.769690200129499343423347628903478206628306502846900926138861 3.14928739076495704612574674111382289023631383882862892583979e-5
0.785398163397448309615660845819875721049292349843776455243736 3.626459281272366786271164936090329577321200511394639324816913e-5
0.801106126665397275807974062736273235470278196840651984348611 4.164224125067089289400255828290397251072852520959168515173885e-5
0.816814089933346242000287279652670749891264043837527513453486 4.7688471722619129562555240314813816624175518774041937086181e-5
0.8325220532012952081926004965690682643122498908344030425583606 5.447099039614389555354949140243937062639244793565908468105694e-5
0.848230016469244174384913713485465778733235737831278571663235 6.20628533555049057083729000081962123504007163748342952364502e-5
0.8639379797371931405772269304018632931542215848281541007681096 7.05427738015596955631107543752518759953048003113901551463927e-5
0.8796459430051421067695401473182608075752074318250296298729844 7.99954403615128797099817254560080335224705322315988486903758e-5
0.895353906273091072961853364234658321996193278821905158977859 9.051184666591843404177472756205573248942087447700894888833755e-5
0.911061869541040039154166581151055836417179125818780688082734 1.021896323475723648512252356131969934456021646513533116388603e-4
0.926769832808989005346479798067453350838164972815656217187609 1.151334356141149472137274201624199592688638876150278388041498e-4
